Station,PGA (cm/s^2),PGV (cm/s),PGD (cm),SA03s (cm/s^2),SA1s (cm/s^2),SA3s (cm/s^2),AI(cm/s),HI (cm),RE (km),RY (km),Longitude,Latitude
CAFI,0.00543008,0.00018108,0.00003288,0.006134,0.001851,0.000321,0.00000059,0.00058744,136.5,137.2,11.9663,43.3292
OPPE,0.0783841,0.00096687,0.00006339,0.049143,0.003191,0.000647,0.00003347,0.00221395,136.6,137.3,11.1724,45.3082
OPPE,0.0674595,0.00078355,0.00009325,0.037655,0.008762,0.001023,0.00004614,0.00278421,136.6,137.3,11.1724,45.3082
OPPE,0.0611022,0.0009274,0.000144,0.04012,0.008029,0.001119,0.00003886,0.00299662,136.6,137.3,11.1724,45.3082
CDCA,0.206714,0.00079406,0.00028576,0.029031,0.006602,0.00175,0.00004983,0.00268761,145.5,146.1,?12.2336,43.4584
CDCA,0.812668,0.00319206,0.00017123,0.05835,0.01384,0.001278,0.0005625,0.00498705,145.5,146.1,?12.2336,43.4584
CDCA,0.171798,0.00140706,0.00065149,0.038266,0.011908,0.006802,0.00004809,0.00500831,145.5,146.1,?12.2336,43.4584
PDN4,0.0154415,0.00027467,0.00004007,0.014658,0.003031,0.000465,0.00000442,0.00098064,146.3,146.9,10.525612,45.442867
PDN4,0.0126248,0.00047348,0.00007446,0.01712,0.005577,0.000657,0.00000379,0.00178429,146.3,146.9,10.525612,45.442867
PDN4,0.0152706,0.00034826,0.00006105,0.013615,0.003334,0.000592,0.00000459,0.00131662,146.3,146.9,10.525612,45.442867
CTL8,0.0114109,0.00042194,0.00008031,0.026093,0.002823,0.000867,0.00000252,0.0012339,146.5,147.1,?9.7622,45.2763
CTL8,0.0158669,0.00078061,0.00010412,0.027439,0.006576,0.000775,0.0000053,0.00227605,146.5,147.1,?9.7622,45.2763
CTL8,0.0169277,0.00109678,0.00013584,0.060355,0.006299,0.001242,0.0000036,0.00279429,146.5,147.1,?9.7622,45.2763
SAIV,0.407841,0.0030211,0.0016292,0.05188,0.019145,0.013853,0.00002029,0.0101382,148.3,148.9,12.413039,43.66482
SAIV,0.0618422,0.00159606,0.00064593,0.014432,0.009313,0.006331,0.00001588,0.00395534,148.3,148.9,12.413039,43.66482
SAIV,0.0545009,0.00168927,0.00068389,0.015883,0.008782,0.007293,0.00001193,0.00416228,148.3,148.9,12.413039,43.66482
CASP,0.00795849,0.00018094,0.00003862,0.009268,0.001265,0.000352,0.00000145,0.00050626,149.6,150.2,?10.8652,42.7908
CASP,0.0108173,0.00019445,0.00003977,0.008196,0.001721,0.000413,0.00000146,0.00072862,149.6,150.2,?10.8652,42.7908
CASP,0.00938358,0.00025404,0.00004819,0.00947,0.002443,0.000464,0.00000154,0.0007864,149.6,150.2,?10.8652,42.7908
